,station_train_code,train_no,train_type,train_code,from_station,from_station_name,to_station,to_station_name,from_station_telecode,to_station_telecode
0,C1001(长春-延吉西),11000C100102,C,C1001,长春,长春,延吉西,延吉西,CCT,YXL
1,C1002(延吉西-长春),1c000C100203,C,C1002,延吉西,延吉西,长春,长春,YXL,CCT
2,C1003(长春-珲春),11000C100302,C,C1003,长春,长春,珲春,珲春,CCT,HUL
3,C1004(延吉西-长春),1c000C100401,C,C1004,延吉西,延吉西,长春,长春,YXL,CCT
4,C1005(长春-延吉西),11000C100501,C,C1005,长春,长春,延吉西,延吉西,CCT,YXL
5,C1006(延吉西-长春),1c000C100602,C,C1006,延吉西,延吉西,长春,长春,YXL,CCT
6,C1007(长春-延吉西),11000C100703,C,C1007,长春,长春,延吉西,延吉西,CCT,YXL
7,C1008(珲春-长春),1c000C100801,C,C1008,珲春,珲春,长春,长春,HUL,CCT
8,C1009(长春-珲春),11000C100903,C,C1009,长春,长春,珲春,珲春,CCT,HUL
9,C1010(延吉西-长春),1c000C101001,C,C1010,延吉西,延吉西,长春,长春,YXL,CCT
10,C1011(长春-延吉西),11000C101101,C,C1011,长春,长春,延吉西,延吉西,CCT,YXL
11,C1012(珲春-长春),1c000C101202,C,C1012,珲春,珲春,长春,长春,HUL,CCT
12,C1013(长春-珲春),11000C101302,C,C1013,长春,长春,珲春,珲春,CCT,HUL
13,C1014(珲春-长春),1c000C101401,C,C1014,珲春,珲春,长春,长春,HUL,CCT
14,C1015(长春-珲春),11000C101502,C,C1015,长春,长春,珲春,珲春,CCT,HUL
15,C1016(延吉西-长春),1c000C101602,C,C1016,延吉西,延吉西,长春,长春,YXL,CCT
16,C1017(长春-延吉西),11000C101702,C,C1017,长春,长春,延吉西,延吉西,CCT,YXL
17,C1018(延吉西-长春),1c000C101802,C,C1018,延吉西,延吉西,长春,长春,YXL,CCT
18,C1019(长春-延吉西),11000C101902,C,C1019,长春,长春,延吉西,延吉西,CCT,YXL
19,C1020(延吉西-长春),1c000C102003,C,C1020,延吉西,延吉西,长春,长春,YXL,CCT
20,C1021(长春-延吉西),11000C102102,C,C1021,长春,长春,延吉西,延吉西,CCT,YXL
21,C1022(珲春-长春),1c000C102201,C,C1022,珲春,珲春,长春,长春,HUL,CCT
22,C1023(长春-珲春),11000C102302,C,C1023,长春,长春,珲春,珲春,CCT,HUL
23,C1024(延吉西-长春),1c000C102402,C,C1024,延吉西,延吉西,长春,长春,YXL,CCT
24,C1025(长春-珲春),11000C102502,C,C1025,长春,长春,珲春,珲春,CCT,HUL
25,C1026(珲春-长春),1c000C102602,C,C1026,珲春,珲春,长春,长春,HUL,CCT
26,C1027(长春-延吉西),11000C102702,C,C1027,长春,长春,延吉西,延吉西,CCT,YXL
27,C1028(延吉西-长春),1c000C102801,C,C1028,延吉西,延吉西,长春,长春,YXL,CCT
28,C1029(长春-敦化),11000C102902,C,C1029,长春,长春,敦化,敦化,CCT,DHL
29,C1030(敦化-长春),18000C103002,C,C1030,敦化,敦化,长春,长春,DHL,CCT
30,C1031(延吉西-珲春),1c000C103101,C,C1031,延吉西,延吉西,珲春,珲春,YXL,HUL
31,C1032(珲春-延吉西),1c000C103201,C,C1032,珲春,珲春,延吉西,延吉西,HUL,YXL
32,C1034(珲春-延吉西),1c000C103400,C,C1034,珲春,珲春,延吉西,延吉西,HUL,YXL
33,C1035(延吉西-珲春),1c000C103507,C,C1035,延吉西,延吉西,珲春,珲春,YXL,HUL
34,C1036(珲春-延吉西),1c000C103607,C,C1036,珲春,珲春,延吉西,延吉西,HUL,YXL
35,C1037(延吉西-珲春),1c000C103700,C,C1037,延吉西,延吉西,珲春,珲春,YXL,HUL
36,C1041(长春-延吉西),11000C104100,C,C1041,长春,长春,延吉西,延吉西,CCT,YXL
37,C1042(珲春-长春),1c000C104200,C,C1042,珲春,珲春,长春,长春,HUL,CCT
38,C1043(长春-珲春),11000C104300,C,C1043,长春,长春,珲春,珲春,CCT,HUL
39,C1044(珲春-长春),1c000C104400,C,C1044,珲春,珲春,长春,长春,HUL,CCT
40,C1201(长春西-吉林),1g000C120101,C,C1201,长春西,长春西,吉林,吉林,CRT,JLL
41,C1202(吉林-长春),18000C120202,C,C1202,吉林,吉林,长春,长春,JLL,CCT
42,C1203(长春西-吉林),1g000C120302,C,C1203,长春西,长春西,吉林,吉林,CRT,JLL
43,C1204(吉林-长春),18000C120401,C,C1204,吉林,吉林,长春,长春,JLL,CCT
44,C1205(长春-吉林),11000C120501,C,C1205,长春,长春,吉林,吉林,CCT,JLL
45,C1206(吉林-长春),18000C120601,C,C1206,吉林,吉林,长春,长春,JLL,CCT
46,C1207(长春-吉林),11000C120701,C,C1207,长春,长春,吉林,吉林,CCT,JLL
47,C1208(吉林-长春),18000C120801,C,C1208,吉林,吉林,长春,长春,JLL,CCT
48,C1209(长春-吉林),11000C120901,C,C1209,长春,长春,吉林,吉林,CCT,JLL
49,C1210(吉林-长春),18000C121001,C,C1210,吉林,吉林,长春,长春,JLL,CCT
50,C1211(长春-吉林),11000C121101,C,C1211,长春,长春,吉林,吉林,CCT,JLL
51,C1212(吉林-长春),18000C121201,C,C1212,吉林,吉林,长春,长春,JLL,CCT
52,C1213(长春-吉林),11000C121301,C,C1213,长春,长春,吉林,吉林,CCT,JLL
53,C1214(吉林-长春),18000C121401,C,C1214,吉林,吉林,长春,长春,JLL,CCT
54,C1215(长春-吉林),11000C121501,C,C1215,长春,长春,吉林,吉林,CCT,JLL
55,C1216(吉林-长春),18000C121601,C,C1216,吉林,吉林,长春,长春,JLL,CCT
56,C1217(长春-吉林),11000C121701,C,C1217,长春,长春,吉林,吉林,CCT,JLL
57,C1218(吉林-长春),18000C121801,C,C1218,吉林,吉林,长春,长春,JLL,CCT
58,C1219(长春-吉林),11000C121901,C,C1219,长春,长春,吉林,吉林,CCT,JLL
59,C1220(吉林-长春),18000C122001,C,C1220,吉林,吉林,长春,长春,JLL,CCT
60,C1221(长春-吉林),11000C122102,C,C1221,长春,长春,吉林,吉林,CCT,JLL
61,C1222(吉林-长春),18000C122201,C,C1222,吉林,吉林,长春,长春,JLL,CCT
62,C1223(长春-吉林),11000C122301,C,C1223,长春,长春,吉林,吉林,CCT,JLL
63,C1224(吉林-长春),18000C122401,C,C1224,吉林,吉林,长春,长春,JLL,CCT
64,C1225(长春-吉林),11000C122501,C,C1225,长春,长春,吉林,吉林,CCT,JLL
